A_Index;Aussenqualitaet;Aussenzustand;Baujahr;Besonderheiten;Garagen;Garagenbaujahr;Grundstueck_qm;Heizungszustand;Kamine;Kaminqualitaet;Keller;Kuechenzustand;Lage;Qualitaet;Renovierungsjahr;Steuerzuordnung;Verkaufsjahr;Wohnflaeche_qm;Zustand;Zz_Verkaufspreis
2379;Gut;Gut;1987.0;;2.0;1987.0;856;Sehr gut;1;Durchschnitt;Rohbau;Durchschnitt;Heroes Park;6;2005.0;5;2018;1855;7;227514
39;Durchschnitt;Durchschnitt;1930.0;;1.0;2007.0;537;Gut;0;;Mittlerer Wohnraum;Schlecht;Lower East Side;4;1960.0;1;2017;960;4;126929
972;Durchschnitt;Durchschnitt;1968.0;;1.0;1968.0;673;Schlecht;0;;Kein Wohnraum;Durchschnitt;Queensland Doors;5;1995.0;3;2017;912;7;140383
561;Durchschnitt;Durchschnitt;1963.0;;2.0;1963.0;1168;Durchschnitt;0;;Freizeitraum;Durchschnitt;Queensland Doors;5;0.0;1;2021;1112;5;172439
2088;Durchschnitt;Durchschnitt;1932.0;;1.0;1932.0;654;Sehr gut;1;Gut;Rohbau;Durchschnitt;Upper East Side;7;1961.0;1;2019;1424;8;212573
1660;Durchschnitt;Durchschnitt;1937.0;;1.0;1938.0;967;Durchschnitt;0;;Rohbau;Durchschnitt;Lower East Side;4;2017.0;2;2017;968;6;75455
1114;Durchschnitt;Durchschnitt;1976.0;;1.0;1976.0;978;Durchschnitt;0;;Freizeitraum;Durchschnitt;Lower East Side;4;0.0;1;2018;960;5;115277
1087;Durchschnitt;Durchschnitt;1941.0;;0.0;;730;Gut;0;;Rohbau;Durchschnitt;Lower East Side;5;1961.0;1;2019;1200;7;150572
120;Gut;Durchschnitt;2017.0;;2.0;2017.0;805;Sehr gut;1;Gut;Guter Wohnraum;Sehr gut;Upper East Side;8;0.0;3;2018;1484;5;323508
1933;Gut;Durchschnitt;2012.0;;2.0;2012.0;780;Sehr gut;1;Durchschnitt;Mittlerer Wohnraum;Gut;Upper East Side;7;0.0;5;2022;2060;5;243670
1398;Durchschnitt;Durchschnitt;1985.0;;2.0;1985.0;836;Durchschnitt;1;Durchschnitt;Mittlerer Wohnraum;Gut;Upper East Side;6;2019.0;3;2023;1381;7;292348
145;Durchschnitt;Durchschnitt;1984.0;;2.0;1986.0;898;Durchschnitt;0;;Kein Wohnraum;Durchschnitt;Lower East Side;4;0.0;4;2020;1181;5;180940
600;Gut;Durchschnitt;1909.0;;2.0;2002.0;688;Gut;0;;Rohbau;Schlecht;Lower East Side;4;1959.0;1;2015;1951;6;120598
1267;Sehr gut;Durchschnitt;2021.0;;3.0;2021.0;1211;Sehr gut;1;Gut;Guter Wohnraum;Sehr gut;Heroes Park;9;0.0;2;2022;1808;5;368922
2232;Durchschnitt;Durchschnitt;2004.0;;2.0;2010.0;688;Durchschnitt;1;Schlecht;Guter Wohnraum;Durchschnitt;Upper East Side;5;2005.0;5;2021;883;6;203916
2596;Durchschnitt;Schlecht;1930.0;;2.0;1982.0;780;Durchschnitt;1;Gut;Kein Wohnraum;Durchschnitt;Lower East Side;5;1960.0;3;2017;1167;5;168459
17;Gut;Durchschnitt;2007.0;;2.0;2007.0;2693;Sehr gut;1;Gut;Guter Wohnraum;Gut;Upper West Side;7;0.0;3;2022;1850;6;282384
1127;Durchschnitt;Durchschnitt;2006.0;;1.0;2010.0;856;Sehr gut;0;;Rohbau;Gut;Upper West Side;5;2017.0;2;2019;1099;6;182205
1992;Durchschnitt;Gut;1978.0;;1.0;1986.0;756;Sehr gut;1;Gut;Guter Wohnraum;Durchschnitt;Lower East Side;5;2022.0;4;2023;894;8;205013
1316;Durchschnitt;Durchschnitt;1939.0;;1.0;1941.0;502;Sehr gut;0;;Rohbau;Gut;Lower East Side;6;2014.0;3;2015;813;8;118976
2422;Durchschnitt;Durchschnitt;1967.0;;0.0;;622;Durchschnitt;0;;Mittlerer Wohnraum;Durchschnitt;Lower East Side;4;0.0;4;2020;784;5;120934
827;Gut;Durchschnitt;2006.0;;3.0;2006.0;1175;Sehr gut;1;Durchschnitt;Niedrige Qualität;Gut;Upper West Side;8;0.0;1;2023;2349;5;536588
269;Durchschnitt;Durchschnitt;2010.0;;2.0;2010.0;909;Gut;1;Durchschnitt;Rohbau;Durchschnitt;Upper East Side;7;0.0;2;2021;1718;5;253185
88;Durchschnitt;Durchschnitt;1936.0;;1.0;1936.0;541;Durchschnitt;1;Gut;Mittlerer Wohnraum;Durchschnitt;Lower East Side;6;1963.0;2;2023;1068;5;162086
